SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.0149, 0.0306, -1.0156, 0.6483, 0.3001, -0.2425, 19.4095, 25.6065, -64.6887, -1.2636, 0.4402, 41.2438, 0.9358, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0025, 1, 0.0149, 0.0306, -1.0156, 0.6483, 0.3001, -0.2425, 19.4095, 25.6065, -64.6887, -1.2626, 0.4414, 41.2417, 0.9359, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0050, 2, 0.0153, 0.0292, -1.0162, -0.9247, -0.1285, 0.8798, 19.4095, 25.9281, -64.1041, -1.2639, 0.4407, 41.2424, 0.9359, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0075, 3, 0.0163, 0.0290, -1.0149, -0.9234, -0.1299, 1.0896, 19.4095, 25.9281, -64.1041, -1.2650, 0.4401, 41.2435, 0.9358, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0150, 4, 0.0149, 0.0282, -1.0152, 0.3666, -0.1834, 0.1139, 19.4095, 25.9281, -64.1041, -1.2656, 0.4399, 41.2424, 0.9359, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0175, 5, 0.0131, 0.0278, -1.0170, 0.4341, 0.0932, -0.2399, 19.5849, 25.8696, -64.2794, -1.2647, 0.4405, 41.2401, 0.9359, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 6, 0.0133, 0.0309, -1.0158, -0.2865, 0.2930, -0.1044, 19.5849, 25.8696, -64.2794, -1.2684, 0.4422, 41.2382, 0.9359, 0.0117, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0225, 7, 0.0122, 0.0358, -1.0153, -0.6446, 0.2888, 0.1747, 19.5849, 25.8696, -64.2794, -1.2737, 0.4421, 41.2372, 0.9359, 0.0118, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0250, 8, 0.0152, 0.0457, -1.0140, -1.2884, 0.2124, 0.7341, 19.5849, 25.8696, -64.2794, -1.2806, 0.4419, 41.2377, 0.9359, 0.0118, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0275, 9, 0.0188, 0.0448, -1.0145, -2.2187, 0.1328, 1.5027, 19.5849, 25.8696, -64.2794, -1.2872, 0.4418, 41.2403, 0.9359, 0.0119, 0.0003, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 10, 0.0171, 0.0271, -1.0140, -3.0054, -0.0135, 2.1328, 18.9126, 25.6650, -64.7764, -1.2926, 0.4407, 41.2443, 0.9358, 0.0119, 0.0004, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0325, 11, 0.0160, 0.0226, -1.0162, -2.5036, -0.0759, 1.7151, 18.9126, 25.6650, -64.7764, -1.2960, 0.4395, 41.2472, 0.9358, 0.0119, 0.0004, -0.3522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0350, 12, 0.0159, 0.0262, -1.0121, -1.4981, -0.0670, 1.3673, 18.9126, 25.6650, -64.7764, -1.2974, 0.4385, 41.2490, 0.9358, 0.0119, 0.0004, -0.3523, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0375, 13, 0.0154, 0.0357, -1.0166, -1.5014, 0.0722, 1.0155, 18.9126, 25.6650, -64.7764, -1.3012, 0.4378, 41.2500, 0.9358, 0.0120, 0.0004, -0.3523, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 14, 0.0149, 0.0351, -1.0162, -1.7214, 0.5502, 1.0079, 18.9126, 25.6650, -64.7764, -1.3049, 0.4379, 41.2510, 0.9358, 0.0120, 0.0004, -0.3523, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0425, 15, 0.0118, 0.0226, -1.0141, -2.0794, 0.6815, 1.4948, 20.0234, 25.4019, -65.0395, -1.3072, 0.4379, 41.2540, 0.9358, 0.0120, 0.0004, -0.3523, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0450, 16, 0.0132, 0.0177, -1.0141, -2.0755, 0.4738, 1.8476, 20.0234, 25.4019, -65.0395, -1.3087, 0.4376, 41.2578, 0.9358, 0.0120, 0.0004, -0.3523, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0475, 17, 0.0132, 0.0177, -1.0141, -2.0755, 0.4738, 1.8476, 20.0234, 25.4019, -65.0395, -1.3102, 0.4373, 41.2617, 0.9358, 0.0120, 0.0005, -0.3524, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
